Player Name,Team,Event,Price
Kristin Lin,Washington (Big Ten),VT,1000.0
Kyla Petrocci,NC State (ACC),VT,1000.0
Kylie Coen,LSU (SEC),VT,1000.0
Kylie Minard,Missouri (SEC),VT,1000.0
Lauren Brendlinger,Maryland (Big Ten),VT,1000.0
Lauren Hollifield,Nebraska (Big Ten),VT,1000.0
Lauren Hsu,Michigan State (Big Ten),VT,1000.0
Lauren Letzsch,Oregon State (Pac-12),VT,1000.0
Lauren Thomas,Iowa State (Big 12),VT,1000.0
Layla Hammer,Maryland (Big Ten),VT,1000.0
Leah Gonsiorowski,Minnesota (Big Ten),VT,1000.0
Leah Miller,LSU (SEC),VT,1000.0
Levi Jung-Ruivivar,Stanford (ACC),VT,1000.0
Lexi Zeiss,LSU (SEC),VT,1000.0
Lilia Purler,Arizona State (Big 12),VT,1000.0
Lilly Lippeatt,Clemson (ACC),VT,1000.0
Lilly Timmerman,Minnesota (Big Ten),VT,1000.0
Lily Kurrack,Clemson (ACC),VT,1000.0
Lindsay Bacheler,Maryland (Big Ten),VT,1000.0
Lisa Szeibert,Missouri (SEC),VT,1000.0
Logan Buckmon,Maryland (Big Ten),VT,1000.0
Lola Montevago,George Washington (Atlantic 10 Conference),VT,1000.0
Lori Brubach,Florida (SEC),VT,1000.0
Macy Jennings,NC State (ACC),VT,1000.0
Maddie Jones,Arkansas (SEC),VT,1000.0
Maddie Komorosk,Maryland (Big Ten),VT,1000.0
Maisyn Rader,Ohio State (Big Ten),VT,1000.0
Makayla Green,Illinois (Big Ten),VT,1000.0
Mara Titarsolej,Missouri (SEC),VT,1000.0
Maria Ferguson,Southern Utah (WAC),VT,1000.0
Marisa Fisher,Minnesota (Big Ten),VT,1000.0
Marissa Neal,Auburn (SEC),VT,1000.0
Marly Esteves,Illinois (Big Ten),VT,1000.0
Mary Green,Ohio State (Big Ten),VT,1000.0
Mati Waligora,Arkansas (SEC),VT,1000.0
McClaine Daigle,Arizona State (Big 12),VT,1000.0
Megan Sapp,Illinois (Big Ten),VT,1000.0
Mia Erdoes,UCLA (Big Ten),VT,1000.0
Mia Heather,Oregon State (Pac-12),VT,1000.0
Mia Hebinck,Denver (Big 12),VT,1000.0
Mika Webster-Longin,UCLA (Big Ten),VT,1000.0
Miki Aderinto,California (ACC),VT,1000.0
Momoko Iwai,Denver (Big 12),VT,1000.0
Morgan Walsh,Minnesota (Big Ten),VT,1000.0
Mya Gordon,Illinois (Big Ten),VT,1000.0
Mya North,Southern Utah (WAC),VT,1000.0
Natalia Pawlak,Alabama (SEC),VT,1000.0
Nicole King,Georgia (SEC),VT,1000.0
Nicollette Crochet,Maryland (Big Ten),VT,1000.0
Nina Laurito,Arizona State (Big 12),VT,1000.0
Noelle Ball,Boise State (Mountain West Conference),VT,1000.0
Nya Kraus,Nebraska (Big Ten),VT,1000.0
Olivia Buckner,Oregon State (Pac-12),VT,1000.0
Olivia Childs,Arizona (Big 12),VT,1000.0
Olivia Dunne,LSU (SEC),VT,1000.0
Olivia Kennedy,Utah (Big 12),VT,1000.0
Olivia Oppegard,Washington (Big Ten),VT,1000.0
Olivia VanHorn,University of Pennsylvania (Ivy League),VT,1000.0
Olivia Yarussi,Penn State (Big Ten),VT,1000.0
Ondine Achampong,California (ACC),VT,1000.0
Porsche Trinidad,Stanford (ACC),VT,1000.0
Quinn Kuhl,Clemson (ACC),VT,1000.0
Rachel Rybicki,Alabama (SEC),VT,1000.0
Reese Baker,Nebraska (Big Ten),VT,1000.0
Reese Drotar,Arkansas (SEC),VT,1000.0
Reese Wilson,Iowa (Big Ten),VT,1000.0
Reina Marchal,Oregon State (Pac-12),VT,1000.0
Riley Maness,West Virginia (Big 12),VT,1000.0
Riley McCusker,Florida (SEC),VT,1000.0
Rosie Casali,Denver (Big 12),VT,1000.0
Rylee Miller,Southern Utah (WAC),VT,1000.0
Sadie Jane Berry,Georgia (SEC),VT,1000.0
Sadie Smith,Arkansas (SEC),VT,1000.0
Samantha Schneider,Minnesota (Big Ten),VT,1000.0
Samara Buchanan,Ohio State (Big Ten),VT,1000.0
Sarah Clark,Arizona State (Big 12),VT,1000.0
Sarah Krump,Utah (Big 12),VT,1000.0
Savannah Miller,Oregon State (Pac-12),VT,1000.0
Seria Johnson,Minnesota (Big Ten),VT,1000.0
Shani Sirota,Maryland (Big Ten),VT,1000.0
Shania Adams,Alabama (SEC),VT,1000.0
Sharon Lee,Kentucky (SEC),VT,1000.0
Sidney Fitzgerald,Georgia (SEC),VT,1000.0
Sienna Robinson,Stanford (ACC),VT,1000.0
Sierra Ballard,LSU (SEC),VT,1000.0
Sierra Church,Clemson (ACC),VT,1000.0
Sierra Kondo,Maryland (Big Ten),VT,1000.0
Skye Blakely,Florida (SEC),VT,1000.0
Sophia Greaves,Auburn (SEC),VT,1000.0
Sophia Maisel,Arizona (Big 12),VT,1000.0
Sophia McClelland,Nebraska (Big Ten),VT,1000.0
Sophia Rice,West Virginia (Big 12),VT,1000.0
Sophia Stephens,Arizona (Big 12),VT,1000.0
Sophie Hampp,Denver (Big 12),VT,1000.0
Sophie Parenti,Michigan (Big Ten),VT,1000.0
Sophie Swartzmiller,Minnesota (Big Ten),VT,1000.0
Stephanie Lebster,Michigan State (Big Ten),VT,1000.0
Sydney Barros,UCLA (Big Ten),VT,1000.0
Sydney Turner,Iowa (Big Ten),VT,1000.0
Taeva Greenberg,BYU (Big 12),VT,1000.0
Takoda Berry,Clemson (ACC),VT,1000.0
Taralyn Nguyen,Stanford (ACC),VT,1000.0
Tasha Brozowski,Maryland (Big Ten),VT,1000.0
Taylor DeVries,Oregon State (Pac-12),VT,1000.0
Taylor Russon,Washington (Big Ten),VT,1000.0
Taylor Tuohy,West Virginia (Big 12),VT,1000.0
Teagan White,Arizona (Big 12),VT,1000.0
Temple Landry,Stanford (ACC),VT,1000.0
Thu Nguyen,Washington (Big Ten),VT,1000.0
Tiara Platkin,Arizona State (Big 12),VT,1000.0
Tori Tatum,LSU (SEC),VT,1000.0
Trinity Webb,Clemson (ACC),VT,1000.0
Ui Soma,Stanford (ACC),VT,1000.0
Victoria Gatzendorfer,Maryland (Big Ten),VT,1000.0
Victoria Roberts,LSU (SEC),VT,1000.0
Zoe Miller,LSU (SEC),VT,1000.0
Zoe Safran,George Washington (Atlantic 10 Conference),VT,1000.0
Zora Morgan,Georgia (SEC),VT,1000.0
Addison Fatta,Oklahoma (SEC),UB,6250.0
Amari Celestine,Missouri (SEC),UB,6250.0
Amelie Morgan,Utah (Big 12),UB,6250.0
Anya Pilgrim,Florida (SEC),UB,6250.0
Audrey Davis,Oklahoma (SEC),UB,6250.0
Cameron Machado,Alabama (SEC),UB,6250.0
Carly Bauman,Michigan (Big Ten),UB,6250.0
Danae Fletcher,Oklahoma (SEC),UB,6250.0
Emma Spence,Nebraska (Big Ten),UB,6250.0
Faith Torrez,Oklahoma (SEC),UB,6250.0
Frida Esparza,UCLA (Big Ten),UB,6250.0
Grace McCallum,Utah (Big 12),UB,6250.0
Haleigh Bryant,LSU (SEC),UB,6250.0
Jade Carey,Oregon State (Pac-12),UB,6250.0
Jerquavia Henderson,Iowa (Big Ten),UB,6250.0
Jordan Bowers,Oklahoma (SEC),UB,6250.0
Kailin Chio,LSU (SEC),UB,6250.0
Katelyn Jong,Auburn (SEC),UB,6250.0
Kayla DiCello,Florida (SEC),UB,6250.0
Konnor McClain,LSU (SEC),UB,6250.0
Lali Dekanoidze,North Carolina (ACC),UB,6250.0
Leah Smith,Arkansas (SEC),UB,6250.0
Leanne Wong,Florida (SEC),UB,6250.0
Lily Pederson,Oklahoma (SEC),UB,6250.0
Lily Smith,Georgia (SEC),UB,6250.0
Mara Titarsolej,Missouri (SEC),UB,6250.0
Mya Lauzon,California (ACC),UB,6250.0
Sage Kellerman,Michigan State (Big Ten),UB,6250.0
Adeline Kenlin,Iowa (Big Ten),UB,5000.0
Ady Wahl,Georgia (SEC),UB,5000.0
Alysen Fears,Arizona (Big 12),UB,5000.0
Anna Roberts,Stanford (ACC),UB,5000.0
Ashley Cowan,LSU (SEC),UB,5000.0
Camie Winger,Utah (Big 12),UB,5000.0
Danielle Sievers,Oklahoma (SEC),UB,5000.0
Emily Lopez,Boise State (Mountain West Conference),UB,5000.0
Emma Mason,Georgia (SEC),UB,5000.0
Gabby Disidore,Florida (SEC),UB,5000.0
Isabella Minervini,Towson (CAA),UB,5000.0
Jada Mangahas,Arizona State (Big 12),UB,5000.0
Jillian Procasky,Kentucky (SEC),UB,5000.0
Jordan Chiles,UCLA (Big Ten),UB,5000.0
Jordyn Lyden,Minnesota (Big Ten),UB,5000.0
Katelyn Rosen,UCLA (Big Ten),UB,5000.0
Katie Harper,NC State (ACC),UB,5000.0
Lilly Tubbs,Washington (Big Ten),UB,5000.0
Madelyn Williams,California (ACC),UB,5000.0
Molly Peterson,Nebraska (Big Ten),UB,5000.0
Nikki Smith,Michigan State (Big Ten),UB,5000.0
Payton Harris,Ohio State (Big Ten),UB,5000.0
Reese Drotar,Arkansas (SEC),UB,5000.0
Rylie Mundell,Denver (Big 12),UB,5000.0
Sasha Fujisaka,UCLA (Big Ten),UB,5000.0
Selena Harris-Miranda,Florida (SEC),UB,5000.0
Shania Adams,Alabama (SEC),UB,5000.0
Tirzah Wise,Arizona (Big 12),UB,5000.0
Tori Tatum,LSU (SEC),UB,5000.0
eMjae Frazier,California (ACC),UB,5000.0
Abby Mueller,Missouri (SEC),UB,4000.0
Aleah Finnegan,LSU (SEC),UB,4000.0
Alex Irvine,Auburn (SEC),UB,4000.0
Alexis Jeffrey,LSU (SEC),UB,4000.0
Alyssa Orgen,Kentucky (SEC),UB,4000.0
Amy Doyle,Michigan State (Big Ten),UB,4000.0
Anapaula Gutierrez,Stanford (ACC),UB,4000.0
Ashley Glynn,Utah (Big 12),UB,4000.0
Ashley Szymanski,Ball State (MAC),UB,4000.0
Ava Piedrahita,Penn State (Big Ten),UB,4000.0
Avery Neff,Utah (Big 12),UB,4000.0
Cecilia Cooley,Denver (Big 12),UB,4000.0
Cecily Rizo,Kentucky (SEC),UB,4000.0
Chloe Cho,Illinois (Big Ten),UB,4000.0
Chloe LaCoursiere,Alabama (SEC),UB,4000.0
Claire Stippich,North Carolina (ACC),UB,4000.0
Csenge Bácskay,Georgia (SEC),UB,4000.0
Deiah Moody,Washington (Big Ten),UB,4000.0
Delanie Harkness,Michigan State (Big Ten),UB,4000.0
Delaynee Rodriguez,Kentucky (SEC),UB,4000.0
Elena Deets,Arizona (Big 12),UB,4000.0
Ella Cesario,California (ACC),UB,4000.0
Ella Zirbes,Utah (Big 12),UB,4000.0
Elle Mueller,Oklahoma (SEC),UB,4000.0
Ellie Lazzari,Florida (SEC),UB,4000.0
Ellie Monahan,Penn State (Big Ten),UB,4000.0
Emily White,Arizona State (Big 12),UB,4000.0
Gabbie Gallentine,Penn State (Big Ten),UB,4000.0
Gabby McLaughlin,Auburn (SEC),UB,4000.0
Hannah Horton,Missouri (SEC),UB,4000.0
Harlyn Tomlin,Georgia (SEC),UB,4000.0
Jacey Vore,Michigan (Big Ten),UB,4000.0
Jenna Rusk,NC State (ACC),UB,4000.0
Jordyn Ewing,Pittsburgh (ACC),UB,4000.0
Kiley Rorich,Denver (Big 12),UB,4000.0
Kylee Kvamme,Alabama (SEC),UB,4000.0
Kyra Burns,Missouri (SEC),UB,4000.0
Lexi Zeiss,LSU (SEC),UB,4000.0
Lilly Hudson,Alabama (SEC),UB,4000.0
Lily Bruce,Florida (SEC),UB,4000.0
Lola Montevago,George Washington (Atlantic 10 Conference),UB,4000.0
Macy McGowan,UCLA (Big Ten),UB,4000.0
Maddie Jones,Arkansas (SEC),UB,4000.0
Madison Ulrich,Denver (Big 12),UB,4000.0
Maggie Slife,Air Force (Mountain West),UB,4000.0
Makayla Green,Illinois (Big Ten),UB,4000.0
Makenna Smith,Utah (Big 12),UB,4000.0
Mati Waligora,Arkansas (SEC),UB,4000.0
Momoko Iwai,Denver (Big 12),UB,4000.0
Mya Hooten,Minnesota (Big Ten),UB,4000.0
Natalia Pawlak,Alabama (SEC),UB,4000.0
Olivia Dunne,LSU (SEC),UB,4000.0
Olivia Kelly,Missouri (SEC),UB,4000.0
Rayna Light,Missouri (SEC),UB,4000.0
Ryan Fuller,Alabama (SEC),UB,4000.0
Sage Thompson,Oregon State (Pac-12),UB,4000.0
Sarah Clark,Arizona State (Big 12),UB,4000.0
Seria Johnson,Minnesota (Big Ten),UB,4000.0
Sienna Robinson,Stanford (ACC),UB,4000.0
Skylar Draser,Florida (SEC),UB,4000.0
Skylar Killough-Wilhelm,Kentucky (SEC),UB,4000.0
Sophia Diaz,Michigan (Big Ten),UB,4000.0
Taylor Russon,Washington (Big Ten),UB,4000.0
Tory Vetter,Ohio State (Big Ten),UB,4000.0
Trinity Webb,Clemson (ACC),UB,4000.0
Abigayle Martin,Arizona (Big 12),UB,3000.0
Allison Kaempfer,Penn State (Big Ten),UB,3000.0
Ana Padurariu,Utah (Big 12),UB,3000.0
Asta Farrell,Michigan State (Big Ten),UB,3000.0
Ava Jordan,Michigan (Big Ten),UB,3000.0
Ava Myers,NC State (ACC),UB,3000.0
Ava Sorrento,Stanford (ACC),UB,3000.0
Ava Stewart,Minnesota (Big Ten),UB,3000.0
Brenna Neault,Stanford (ACC),UB,3000.0
Cadence Gormley,Kentucky (SEC),UB,3000.0
Carley Beeman,Oregon State (Pac-12),UB,3000.0
Chae Campbell,UCLA (Big Ten),UB,3000.0
Chesney Bennett,Kentucky (SEC),UB,3000.0
Courtney McCann,Ohio State (Big Ten),UB,3000.0
Deborah Silva,BYU (Big 12),UB,3000.0
Delaney Adrian,Rutgers (Big Ten),UB,3000.0
Gabby Gladieux,Alabama (SEC),UB,3000.0
Gabrielle Stephen,Michigan State (Big Ten),UB,3000.0
Haylen Zabrowski,Michigan (Big Ten),UB,3000.0
Helen Hu,Missouri (SEC),UB,3000.0
Holly Snyder,Georgia (SEC),UB,3000.0
Isabella Neff,Southern Utah (WAC),UB,3000.0
JaFree Scott,Georgia (SEC),UB,3000.0
Jaime Dugan,Stanford (ACC),UB,3000.0
Jennifer McMillan,Oregon State (Pac-12),UB,3000.0
Jessica Reith,Washington (Big Ten),UB,3000.0
Jocelyn Moore,Missouri (SEC),UB,3000.0
Kaitlyn Ewald,Arkansas (SEC),UB,3000.0
Kalea McElligott,Penn State (Big Ten),UB,3000.0
Kaylyn Mintz,Ohio State (Big Ten),UB,3000.0
Kendra Chang,Stanford (ACC),UB,3000.0
Kimberly Smith,Arizona State (Big 12),UB,3000.0
Kristina Shchennikova,Boise State (Mountain West Conference),UB,3000.0
Lundyn VanderToolen,Utah State (Mountain West Conference),UB,3000.0
Ly Bui,Florida (SEC),UB,3000.0
Maddie Johnston,Penn State (Big Ten),UB,3000.0
Mary McDonough,Washington (Big Ten),UB,3000.0
McCauley Harrington,Minnesota (Big Ten),UB,3000.0
Mia Hebinck,Denver (Big 12),UB,3000.0
Mika Webster-Longin,UCLA (Big Ten),UB,3000.0
Morgan Price,Fisk (GCAC),UB,3000.0
Natalie Briones,Oregon State (Pac-12),UB,3000.0
Naya Howard,Georgia (SEC),UB,3000.0
Nina Laurito,Arizona State (Big 12),UB,3000.0
Niya Randolph,Southern Utah (WAC),UB,3000.0
Nya Kraus,Nebraska (Big Ten),UB,3000.0
Olivia Greaves,Auburn (SEC),UB,3000.0
Olivia Hollingsworth,Auburn (SEC),UB,3000.0
Olivia Zsarmani,Michigan State (Big Ten),UB,3000.0
Priscilla Park,Arkansas (SEC),UB,3000.0
Riley McCusker,Florida (SEC),UB,3000.0
Sadie Smith,Arkansas (SEC),UB,3000.0
Sidney Fitzgerald,Georgia (SEC),UB,3000.0
Skyla Schulte,Michigan State (Big Ten),UB,3000.0
Sloane Blakely,Florida (SEC),UB,3000.0
Sophia Groth,Auburn (SEC),UB,3000.0
Sophie Parenti,Michigan (Big Ten),UB,3000.0
Tasha Brozowski,Maryland (Big Ten),UB,3000.0
Teryn Crump,Minnesota (Big Ten),UB,3000.0
Trinity Brown,Clemson (ACC),UB,3000.0
Trista Goodman,Southern Utah (WAC),UB,3000.0
Abigail Bednar,Kentucky (SEC),UB,2000.0
Addilyn Glazier,BYU (Big 12),UB,2000.0
Amy Fukami,Michigan (Big Ten),UB,2000.0
Anna Flynn Cashion,Kentucky (SEC),UB,2000.0
Arielle Ward,Illinois (Big Ten),UB,2000.0
Aubrey Krohnfeldt,Arizona (Big 12),UB,2000.0
Audrey Sanger,Michigan (Big Ten),UB,2000.0
Bella O'Bryant,NC State (ACC),UB,2000.0
Brinlee Christensen,Southern Utah (WAC),UB,2000.0
CJ Keuneke,California (ACC),UB,2000.0
Cadence Goldberg,Kentucky (SEC),UB,2000.0
Caroline Volk,NC State (ACC),UB,2000.0
Casey Brown,California (ACC),UB,2000.0
Cassi Barbanente,Penn State (Big Ten),UB,2000.0
Danielle Latronica,Penn State (Big Ten),UB,2000.0
Danika Nielsen,Clemson (ACC),UB,2000.0
Elizabeth Leary,Penn State (Big Ten),UB,2000.0
Emily Lee,UCLA (Big Ten),UB,2000.0
Emily Mueller,Arizona (Big 12),UB,2000.0
Emma Grace Boyd,Auburn (SEC),UB,2000.0
Eve Jackson,Clemson (ACC),UB,2000.0
Grace Drexler,Arkansas (SEC),UB,2000.0
Hailey Davis,Kentucky (SEC),UB,2000.0
JJ Coleman,Ohio State (Big Ten),UB,2000.0
Jahzara Ranger,Michigan (Big Ten),UB,2000.0
Joscelyn Roberson,Arkansas (SEC),UB,2000.0
Julianna Weeks,Arkansas (SEC),UB,2000.0
Karina Munoz,Iowa (Big Ten),UB,2000.0
Kathryn Weilbacher,LSU (SEC),UB,2000.0
Keeley Smith,Rutgers (Big Ten),UB,2000.0
Kelsey Slade,Oklahoma (SEC),UB,2000.0
Lilly Lippeatt,Clemson (ACC),UB,2000.0
Lisa Szeibert,Missouri (SEC),UB,2000.0
Lucie Kirchner,Michigan (Big Ten),UB,2000.0
Meika Lee,Pittsburgh (ACC),UB,2000.0
Mia Hampton,Southern Utah (WAC),UB,2000.0
Mya Gordon,Illinois (Big Ten),UB,2000.0
Mya Wiley,California (ACC),UB,2000.0
Olivia Ahern,Auburn (SEC),UB,2000.0
Poppy-Grace Stickler,Utah (Big 12),UB,2000.0
Railey Jackson,Missouri (SEC),UB,2000.0
Rhea Leblanc,Maryland (Big Ten),UB,2000.0
Riley Maness,West Virginia (Big 12),UB,2000.0
Rosie Casali,Denver (Big 12),UB,2000.0
Ryan Noonan,Kentucky (SEC),UB,2000.0
Rylee Guevara,Ohio State (Big Ten),UB,2000.0
Sadie Jane Berry,Georgia (SEC),UB,2000.0
Sarah Saville,Maryland (Big Ten),UB,2000.0
Sophia Bell,Auburn (SEC),UB,2000.0
Sophia Esposito,Oregon State (Pac-12),UB,2000.0
Sophia Kaloudis,Oregon State (Pac-12),UB,2000.0
Sophia McClelland,Nebraska (Big Ten),UB,2000.0
Sophie Derr,Arizona (Big 12),UB,2000.0
TaeLyn Canty,North Carolina (ACC),UB,2000.0
Taeva Greenberg,BYU (Big 12),UB,2000.0
Takoda Berry,Clemson (ACC),UB,2000.0
Victoria Nguyen,Florida (SEC),UB,2000.0
Zoe Johnson,Utah (Big 12),UB,2000.0
Abbey Scanlon,California (ACC),UB,1000.0
Abbie Thompson,Denver (Big 12),UB,1000.0
Aberdeen O'Driscoll,Georgia (SEC),UB,1000.0
Addison Hewitt,Maryland (Big Ten),UB,1000.0
Addison Lawrence,Missouri (SEC),UB,1000.0
Addisyn Hurley Snow,Oklahoma (SEC),UB,1000.0
Ainsley Greever,Arizona (Big 12),UB,1000.0
Alana Walker,Stanford (ACC),UB,1000.0
Alex Routsis,Southern Utah (WAC),UB,1000.0
Alex Theodorou,Arizona State (Big 12),UB,1000.0
Alexa Chuy,George Washington (Atlantic 10 Conference),UB,1000.0
Alexa Rothenbuescher,Maryland (Big Ten),UB,1000.0
Alexia Mouyenga,Washington (Big Ten),UB,1000.0
Alexis Czarrunchick,Georgia (SEC),UB,1000.0
Alyona Shchennikova,LSU (SEC),UB,1000.0
Alyssa Arana,Florida (SEC),UB,1000.0
Alyssa Fernandez,Southern Utah (WAC),UB,1000.0
Alyssa Guns,Kent State (MAC),UB,1000.0
Alyssa Kramer,Penn State (Big Ten),UB,1000.0
Amanda Hargraves,Denver (Big 12),UB,1000.0
Amani Herring,Penn State (Big Ten),UB,1000.0
Amari Drayton,LSU (SEC),UB,1000.0
Amelia Rieder,Southern Utah (WAC),UB,1000.0
Amelia Rock,Arizona (Big 12),UB,1000.0
Amy Wier,Missouri (SEC),UB,1000.0
Anahit Assadourian,Minnesota (Big Ten),UB,1000.0
Anaya Smith,Georgia (SEC),UB,1000.0
Anna Hill,Auburn (SEC),UB,1000.0
Anna Leigh,West Virginia (Big 12),UB,1000.0
Annalise Newman-Achee,California (ACC),UB,1000.0
Annie Beard,LSU (SEC),UB,1000.0
Anya Turner,Georgia (SEC),UB,1000.0
Ashley Carter,Stanford (ACC),UB,1000.0
Ashley Gallen,Denver (Big 12),UB,1000.0
Ashley Knight,NC State (ACC),UB,1000.0
Ashley Maul,Penn State (Big Ten),UB,1000.0
Ashlyn Doyle,Illinois (Big Ten),UB,1000.0
Ashton Meuret,Ohio State (Big Ten),UB,1000.0
Aspen Lenczner,Oklahoma (SEC),UB,1000.0
Aurélie Tran,Iowa (Big Ten),UB,1000.0
Ava Mabanta,Denver (Big 12),UB,1000.0
Ava Siegfeldt,Oklahoma (SEC),UB,1000.0
Ayla Acevedo,Missouri (SEC),UB,1000.0
Bella Ferraccio,Maryland (Big Ten),UB,1000.0
Bella Mabanta,Denver (Big 12),UB,1000.0
Bella Misiura,Penn State (Big Ten),UB,1000.0
Bella Salcedo,Penn State (Big Ten),UB,1000.0
Bri Edwards,Florida (SEC),UB,1000.0
Brianna Taurek,California (ACC),UB,1000.0
Bridget Kemp,Boise State (Mountain West Conference),UB,1000.0
Brie Clark,Clemson (ACC),UB,1000.0
Brinley Kitchen,Southern Utah (WAC),UB,1000.0
Bronwyn Hoffman,UCLA (Big Ten),UB,1000.0
Brooke Dennis,Alabama (SEC),UB,1000.0
Brooke Gleichowski,Georgia (SEC),UB,1000.0
Brooklyn Moors,UCLA (Big Ten),UB,1000.0
Brooklyn Rowray,Minnesota (Big Ten),UB,1000.0
Bryce Wilson,LSU (SEC),UB,1000.0
Bryn Bartman,Auburn (SEC),UB,1000.0
Brynlee Andersen,BYU (Big 12),UB,1000.0
Cady Duplissis,Michigan State (Big Ten),UB,1000.0
Caitlin McWilliams,Washington (Big Ten),UB,1000.0
Caitlin Smith,Oklahoma (SEC),UB,1000.0
Cally Swaney,Arkansas (SEC),UB,1000.0
Cameron Smith,Ohio State (Big Ten),UB,1000.0
Cami Weaver,Arkansas (SEC),UB,1000.0
Caralia Martinez,Southern Utah (WAC),UB,1000.0
Carissa Clay,UCLA (Big Ten),UB,1000.0
Carly Busch,Kentucky (SEC),UB,1000.0
Caroline Leonard,Auburn (SEC),UB,1000.0
Caroline Lichtman,Arizona State (Big 12),UB,1000.0
Cassie Lee,Iowa (Big Ten),UB,1000.0
Chandler Buntin,Arkansas (SEC),UB,1000.0
Chase Brock,LSU (SEC),UB,1000.0
Chavala Shepard,Arizona State (Big 12),UB,1000.0
Chelsea Hallinan,Washington (Big Ten),UB,1000.0
Chiara Andrew,BYU (Big 12),UB,1000.0
Chloe Negrete,NC State (ACC),UB,1000.0
Chloe Seaga,Arizona State (Big 12),UB,1000.0
Ciena Alipio,UCLA (Big Ten),UB,1000.0
Claire Dean,Stanford (ACC),UB,1000.0
Clara Raposo,Utah (Big 12),UB,1000.0
Clara Wren,UCLA (Big Ten),UB,1000.0
Corinne Bunagan,Alabama (SEC),UB,1000.0
Courtney Woods,Missouri (SEC),UB,1000.0
Creslyn Brose,Kentucky (SEC),UB,1000.0
Daisy Stephenson,BYU (Big 12),UB,1000.0
Dakota Essenpries,Arkansas (SEC),UB,1000.0
Danie Ferris,Florida (SEC),UB,1000.0
Delaney Reeves,Boise State (Mountain West Conference),UB,1000.0
Eden King,Illinois (Big Ten),UB,1000.0
Eden Webster,West Virginia (Big 12),UB,1000.0
Elina Vihrova,Penn State (Big Ten),UB,1000.0
Elise Tisler,Missouri (SEC),UB,1000.0
Elizabeth Blessey,Oklahoma (SEC),UB,1000.0
Elizabeth Gantner,Utah (Big 12),UB,1000.0
Elizabeth Larusso,Arizona (Big 12),UB,1000.0
Ella Tashjian,Yale (Ivy),UB,1000.0
Elle Beaufait,Michigan State (Big Ten),UB,1000.0
Ellie Cacciola,Southern Utah (WAC),UB,1000.0
Ellie Thomson,Southern Utah (WAC),UB,1000.0
Ellie Weaver,Oregon State (Pac-12),UB,1000.0
Elliot Bringhurst,Southern Utah (WAC),UB,1000.0
Emerson Smith,West Virginia (Big 12),UB,1000.0
Emily Countryman,Southern Utah (WAC),UB,1000.0
Emily Innes,Washington (Big Ten),UB,1000.0
Emily Koch,Minnesota (Big Ten),UB,1000.0
Emily Pires,Washington (Big Ten),UB,1000.0
Emily Plone,Southern Utah (WAC),UB,1000.0
Emma Malabuyo,UCLA (Big Ten),UB,1000.0
Emma Misenheimer,Michigan State (Big Ten),UB,1000.0
Emma Nipper,Southern Utah (WAC),UB,1000.0
